code,銘柄名,業種,起点日,5倍到達日,かかった日数,起点株価,到達株価,倍率
47840,ＧＭＯインターネット,サービス業,2024-11-18,2025-04-16,99,461.0,2406.0,5.22
66590,メディアリンクス,電気機器,2024-02-26,2024-06-20,79,55.0,287.0,5.22
58170,ＪＭＡＣＳ,非鉄金属,2025-06-02,2026-03-02,182,413.0,2151.0,5.21
57290,日本精鉱,非鉄金属,2024-11-27,2025-10-14,213,736.2,3832.5,5.21
77460,岡本硝子,精密機器,2025-12-24,2026-02-06,28,297.0,1546.0,5.21
25530,アセットマネジメントＯｎｅ株式会社　Ｏｎｅ　ＥＴＦ　南方　中国Ａ株　ＣＳＩ５００,その他,2024-09-30,2024-10-03,3,1999.0,10400.0,5.2
49350,リベルタ,化学,2024-12-13,2025-01-07,13,246.0,1278.0,5.2
67310,ピクセラ,電気機器,2023-12-26,2024-01-11,6,1000.0,5200.0,5.2
45700,免疫生物研究所,医薬品,2025-11-13,2025-11-28,10,601.0,3120.0,5.19
80500,セイコーグループ,精密機器,2025-08-08,2026-08-12,244,2167.5,11240.0,5.19
55970,ブルーイノベーション,情報･通信業,2025-01-29,2025-08-04,126,537.0,2789.0,5.19
65210,オキサイド,電気機器,2025-04-09,2026-03-10,223,948.0,4920.0,5.19
52160,倉元製作所,ガラス･土石製品,2024-02-16,2024-05-27,66,79.0,410.0,5.19
190A0,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,医薬品,2024-06-28,2024-08-15,32,172.0,891.0,5.18
38030,イメージ情報開発,情報･通信業,2025-07-11,2025-08-04,15,514.0,2660.0,5.18
73180,セレンディップ・ホールディングス,輸送用機器,2025-04-07,2025-10-24,136,302.8,1567.5,5.18
