buy_date,code,sector,buy_price,shares,buy_amount,buy_fee,sell_date,reason,sell_price,sell_amount,sell_fee,net_pnl
2025-11-26,33910,小売業,2750.0,300,825000.0,330,2026-01-09,SL(-5%),2612.5,783750.0,330,-41910.0
2026-01-05,31890,小売業,282.0,3800,1071600.0,605,2026-01-08,SL(-5%),267.9,1018019.9999999999,605,-54790.00000000012
2026-01-06,48880,医薬品,292.0,3500,1022000.0,605,2026-01-07,SL(-5%),277.4,970899.9999999999,330,-52035.00000000012
2026-01-07,241A0,情報･通信業,626.0,1500,939000.0,330,2026-01-08,TP(+10%),688.6,1032900.0,605,92965.0
2026-01-08,70740,サービス業,242.0,4400,1064800.0,605,2026-01-09,SL(-5%),229.9,1011560.0,605,-54450.0
2026-01-09,35590,卸売業,519.0,1900,986100.0,330,2026-01-13,TP(+10%),570.9,1084710.0,605,97675.0
2025-11-11,49220,化学,5059.0,1900,9612100.0,1430,2026-01-20,TP(+10%),5564.9,10573310.0,1430,958350.0
2026-01-13,137A0,情報･通信業,872.0,1200,1046400.0,605,2026-01-14,SL(-5%),828.4,994080.0,330,-53255.0
2026-01-14,44220,情報･通信業,400.0,2400,960000.0,330,2026-01-15,TP(+10%),440.0,1056000.0,605,95065.0
2026-01-15,414A0,情報･通信業,1064.0,1000,1064000.0,605,2026-01-20,SL(-5%),1010.8,1010800.0,605,-54410.0
2026-01-16,42600,情報･通信業,335.0,3000,1005000.0,605,2026-01-19,SL(-5%),318.2,954600.0,330,-51335.0
2026-01-19,45960,医薬品,67.0,14500,971500.0,330,2026-01-20,SL(-5%),63.6,922200.0,330,-49960.0
2026-01-20,33230,卸売業,105.0,8700,913500.0,330,2026-01-21,TP(+10%),115.5,1004850.0,605,90415.0
2026-01-14,65480,サービス業,147.0,72500,10657500.0,1430,2026-02-06,TP(+10%),161.7,11723250.0,1430,1062890.0
2026-02-03,38030,情報･通信業,839.0,13300,11158700.0,1430,2026-02-04,TP(+10%),922.9,12274570.0,1430,1113010.0
2026-02-03,276A0,不動産業,4190.0,100,419000.0,220,2026-02-04,TP(+10%),4609.0,460900.0,220,41460.0
2026-01-21,60630,サービス業,976.0,1000,976000.0,330,2026-02-12,TP(+10%),1073.6,1073600.0,605,96665.0
2026-02-04,23710,サービス業,1874.0,6200,11618800.0,1430,2026-02-12,SL(-5%),1780.3,11037860.0,1430,-583800.0
2026-02-04,39230,情報･通信業,740.6,1700,1259020.0,605,2026-02-10,TP(+10%),814.7,1384990.0,605,124760.0
2026-02-05,89950,不動産業,1517.0,7600,11529200.0,1430,2026-02-06,TP(+10%),1668.7,12682120.0,1430,1150060.0
2026-02-05,276A0,不動産業,4710.0,400,1884000.0,605,2026-02-06,SL(-5%),4474.5,1789800.0,605,-95410.0
2026-02-06,52420,情報･通信業,1195.0,10100,12069500.0,1430,2026-02-10,SL(-5%),1135.2,11465520.0,1430,-606840.0
2026-02-06,48810,医薬品,91.0,27500,2502500.0,605,2026-02-09,TP(+10%),100.1,2752750.0,605,249040.0
2026-02-09,17980,建設業,1310.0,9100,11921000.0,1430,2026-02-17,TP(+10%),1441.0,13113100.0,1430,1189240.0
2026-02-09,48900,医薬品,287.0,8000,2296000.0,605,2026-02-13,SL(-5%),272.6,2180800.0,605,-116410.0
2026-02-10,76150,小売業,167.0,74700,12474900.0,1430,2026-02-12,TP(+10%),183.7,13722390.0,1430,1244630.0
2026-02-10,38230,情報･通信業,72.0,39100,2815200.0,605,2026-02-12,SL(-5%),68.4,2674440.0,605,-141970.0
2026-02-12,50280,情報･通信業,450.0,28900,13005000.0,1430,2026-02-13,SL(-5%),427.5,12354750.0,1430,-653110.0
2026-02-12,37790,情報･通信業,179.0,18900,3383100.0,1018,2026-02-13,SL(-5%),170.0,3213000.0,1018,-172136.0
2026-02-13,269A0,情報･通信業,2442.0,1200,2930400.0,605,2026-02-16,SL(-5%),2319.9,2783880.0,605,-147730.0
2026-02-16,40690,情報･通信業,1030.0,2700,2781000.0,605,2026-02-18,SL(-5%),978.5,2641950.0,605,-140260.0
