購入日,銘柄コード,業種,おすすめ度(%),買値,売値,決済理由,売却日,購入金額(固定),買手数料,売却金額,売手数料,純損益(固定1000万)
2026-03-02,87830,その他金融業,76.6,243.0,230.8,SL(-5%),2026-03-11,10000000.0,1430,9497942.386831276,1430,-504917.6131687239
2026-03-02,36280,情報･通信業,67.0,483.0,531.3,TP(+10%),2026-03-11,10000000.0,1430,10999999.999999998,1430,997139.9999999981
2026-03-02,190A0,医薬品,81.1,153.0,145.3,SL(-5%),2026-03-11,10000000.0,1430,9496732.026143791,1430,-506127.97385620885
2026-03-02,55970,情報･通信業,80.7,1693.0,1608.3,SL(-5%),2026-03-11,10000000.0,1430,9499704.666272888,1430,-503155.33372711204
2026-03-02,23380,情報･通信業,85.6,103.0,113.3,TP(+10%),2026-03-11,10000000.0,1430,11000000.0,1430,997140.0
2026-03-02,87460,証券･商品先物取引業,80.3,337.0,320.1,SL(-5%),2026-03-11,10000000.0,1430,9498516.320474777,1430,-504343.67952522263
2026-03-02,45930,医薬品,69.1,465.0,441.8,SL(-5%),2026-03-11,10000000.0,1430,9501075.268817205,1430,-501784.731182795
2026-03-02,31330,小売業,82.1,448.0,425.6,SL(-5%),2026-03-11,10000000.0,1430,9500000.0,1430,-502860.0
2026-03-02,29360,食料品,64.8,357.0,339.1,SL(-5%),2026-03-11,10000000.0,1430,9498599.43977591,1430,-504260.5602240898
2026-03-02,65720,サービス業,68.8,241.0,228.9,SL(-5%),2026-03-11,10000000.0,1430,9497925.31120332,1430,-504934.6887966804
2026-03-02,61730,その他,66.4,160.0,152.0,SL(-5%),2026-03-11,10000000.0,1430,9500000.0,1430,-502860.0
2026-03-02,51360,情報･通信業,67.3,1449.0,1376.5,SL(-5%),2026-03-11,10000000.0,1430,9499654.934437543,1430,-503205.06556245685
2026-03-02,278A0,精密機器,73.8,2741.0,2603.9,SL(-5%),2026-03-11,10000000.0,1430,9499817.584823059,1430,-503042.4151769411
2026-03-02,67360,電気機器,67.4,6540.0,7194.0,TP(+10%),2026-03-11,10000000.0,1430,11000000.0,1430,997140.0
2026-03-02,218A0,精密機器,64.1,1554.0,1709.4,TP(+10%),2026-03-11,10000000.0,1430,11000000.0,1430,997140.0
2026-03-02,78860,化学,62.6,842.0,799.9,SL(-5%),2026-03-11,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-13,39860,情報･通信業,82.4,505.0,479.8,SL(-5%),2026-03-23,10000000.0,1430,9500990.099009901,1430,-501869.9009900987
2026-02-13,40580,情報･通信業,87.3,1814.0,1723.3,SL(-5%),2026-03-23,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-13,43750,情報･通信業,65.5,813.0,772.3,SL(-5%),2026-03-19,10000000.0,1430,9499384.993849937,1430,-503475.0061500631
2026-02-13,36600,情報･通信業,62.3,448.0,425.6,SL(-5%),2026-03-19,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-16,36610,情報･通信業,69.6,677.0,643.1,SL(-5%),2026-03-23,10000000.0,1430,9499261.447562777,1430,-503598.5524372235
2026-02-16,70710,サービス業,64.5,483.0,458.8,SL(-5%),2026-03-18,10000000.0,1430,9498964.80331263,1430,-503895.19668737054
2026-02-16,30770,小売業,64.2,530.0,583.0,TP(+10%),2026-03-23,10000000.0,1430,11000000.0,1430,997140.0
2026-02-17,93450,サービス業,69.7,659.0,626.0,SL(-5%),2026-03-23,10000000.0,1430,9499241.274658574,1430,-503618.7253414262
2026-02-19,52580,情報･通信業,66.1,308.0,292.6,SL(-5%),2026-03-23,10000000.0,1430,9500000.0,1430,-502860.0
2026-02-24,38650,パルプ・紙,64.9,971.0,922.4,SL(-5%),2026-03-23,10000000.0,1430,9499485.066941299,1430,-503374.93305870146
2026-03-02,39000,情報･通信業,69.2,708.0,672.6,SL(-5%),2026-03-19,10000000.0,1430,9500000.0,1430,-502860.0
2026-03-11,192A0,サービス業,90.5,1915.0,1819.2,SL(-5%),2026-03-19,10000000.0,1430,9499738.903394256,1430,-503121.0966057442
2026-03-11,38400,情報･通信業,86.8,78.0,85.8,TP(+10%),2026-03-16,10000000.0,1430,10999999.999999998,1430,997139.9999999981
2026-03-11,18440,建設業,86.4,643.0,610.9,SL(-5%),2026-03-16,10000000.0,1430,9500777.60497667,1430,-502082.3950233292
2026-03-11,40740,情報･通信業,73.9,733.0,696.4,SL(-5%),2026-03-16,10000000.0,1430,9500682.128240108,1430,-502177.8717598915
2026-03-11,70740,サービス業,73.9,215.0,204.2,SL(-5%),2026-03-19,10000000.0,1430,9497674.41860465,1430,-505185.5813953504
2026-03-11,42650,情報･通信業,72.5,330.0,363.0,TP(+10%),2026-03-17,10000000.0,1430,11000000.0,1430,997140.0
2026-03-11,23380,情報･通信業,88.0,180.0,198.0,TP(+10%),2026-03-16,10000000.0,1430,11000000.0,1430,997140.0
2026-03-11,52480,情報･通信業,75.1,513.0,487.3,SL(-5%),2026-03-16,10000000.0,1430,9499025.341130605,1430,-503834.65886939503
2026-03-11,39090,情報･通信業,75.2,234.0,222.3,SL(-5%),2026-03-23,10000000.0,1430,9500000.0,1430,-502860.0
2026-03-11,218A0,精密機器,65.0,1748.0,1660.6,SL(-5%),2026-03-16,10000000.0,1430,9500000.0,1430,-502860.0
2026-03-11,30640,小売業,62.4,1845.0,1752.8,SL(-5%),2026-03-23,10000000.0,1430,9500271.002710028,1430,-502588.9972899724
2026-03-11,67210,電気機器,61.5,115.0,109.2,SL(-5%),2026-03-16,10000000.0,1430,9495652.173913045,1430,-507207.82608695515
2026-03-11,477A0,サービス業,60.7,732.0,695.4,SL(-5%),2026-03-16,10000000.0,1430,9500000.0,1430,-502860.0
2025-09-24,13090,その他,76.9,52660.0,50027.0,SL(-5%),2026-03-30,10000000.0,1430,9500000.0,1430,-502860.0
2026-01-06,44450,情報･通信業,62.8,1800.0,1980.0,TP(+10%),2026-03-27,10000000.0,1430,11000000.0,1430,997140.0
2026-01-23,73760,サービス業,69.8,635.0,698.5,TP(+10%),2026-03-30,10000000.0,1430,11000000.0,1430,997140.0
2026-02-16,40530,情報･通信業,71.6,395.0,434.5,TP(+10%),2026-03-27,10000000.0,1430,11000000.0,1430,997140.0
2026-02-17,36700,情報･通信業,81.5,2037.0,1935.1,SL(-5%),2026-03-30,10000000.0,1430,9499754.540991655,1430,-503105.4590083454
2026-02-20,177A0,化学,67.3,1215.0,1154.2,SL(-5%),2026-03-30,10000000.0,1430,9499588.477366256,1430,-503271.5226337444
2026-03-11,92130,サービス業,79.9,750.0,825.0,TP(+10%),2026-04-01,10000000.0,1430,11000000.0,1430,997140.0
2026-03-11,25850,食料品,71.5,951.0,1046.1,TP(+10%),2026-03-27,10000000.0,1430,10999999.999999998,1430,997139.9999999981
2026-03-16,281A0,情報･通信業,99.0,417.0,458.7,TP(+10%),2026-03-27,10000000.0,1430,11000000.0,1430,997140.0
2026-03-16,36530,情報･通信業,72.4,681.0,646.9,SL(-5%),2026-03-27,10000000.0,1430,9499265.785609398,1430,-503594.21439060196
